Signal,,,DFT
N,Amplitude,,Freq,M,theta
0,-0.103742,,0,4.61628,0.785398
1,0.0979028,,1,12.0063,0.785398
2,-0.0775776,,2,4.11684,0.785398
3,-0.0254979,,3,6.23462,0.785398
4,0.0608781,,4,14.3911,0.785398
5,0.0150975,,5,13.6742,0.785398
6,0.0773917,,6,26.526,0.785398
7,0.00292814,,7,9.60969,0.785398
8,0.123771,,8,7.64681,0.785398
9,0.116653,,9,10.7475,0.785398
10,-0.0184873,,10,11.0212,0.785398
11,0.0382497,,11,9.70399,0.785398
12,0.115383,,12,20.8099,0.785398
13,0.0894968,,13,1.15306,0.785398
14,-0.0514935,,14,15.4222,0.785398
15,-0.0213389,,15,5.33,0.785398
16,0.00372323,,16,11.0882,0.785398
17,0.0724461,,17,9.14735,0.785398
18,0.0110682,,18,6.0897,0.785398
19,-0.101593,,19,13.5918,0.785398
20,-0.0169351,,20,11.8843,0.785398
21,0.0862319,,21,11.0288,0.785398
22,0.0682116,,22,4.13319,0.785398
23,-0.0770353,,23,17.6216,0.785398
24,0.0700917,,24,2.05457,0.785398
25,-0.0796642,,25,9.07737,0.785398
26,0.0197854,,26,11.8989,0.785398
27,-0.0464671,,27,9.52718,0.785398
28,-0.0220038,,28,1.56038,0.785398
29,0.123076,,29,10.7495,0.785398
30,-0.0840194,,30,15.0391,0.785398
31,-0.041288,,31,6.73146,0.785398
32,-0.105945,,32,5.30677,0.785398
33,-0.081369,,33,0.815116,0.785398
34,-0.115675,,34,11.2529,0.785398
35,-0.0081463,,35,10.9036,0.785398
36,0.0435282,,36,9.72654,0.785398
37,-0.108324,,37,5.94883,0.785398
38,-0.0275544,,38,8.43269,0.785398
39,-0.0836503,,39,2.89227,0.785398
40,0.122701,,40,20.3264,0.785398
41,0.0926598,,41,30.7249,0.785398
42,0.0431632,,42,24.4258,0.785398
43,0.0219265,,43,33.9656,0.785398
44,-0.0612464,,44,24.884,0.785398
45,0.0232614,,45,18.401,0.785398
46,-0.05707,,46,10.8587,0.785398
47,-0.0573797,,47,10.5803,0.785398
48,-0.101017,,48,4.4178,0.785398
49,0.0331391,,49,18.3471,0.785398
50,-0.0871818,,50,10.1901,0.785398
51,0.112216,,51,19.0883,0.785398
52,-0.114349,,52,7.16373,0.785398
53,0.0587723,,53,12.0118,0.785398
54,-0.00862574,,54,10.0031,0.785398
55,-0.0693651,,55,2.37374,0.785398
56,0.0178711,,56,2.58145,0.785398
57,0.0261424,,57,0.854087,0.785398
58,0.0495004,,58,8.89819,0.785398
59,0.0411714,,59,0.846199,0.785398
60,-0.0815869,,60,2.46599,0.785398
61,0.0628736,,61,0.0492201,0.785398
62,0.0812292,,62,19.5466,0.785398
63,0.063274,,63,7.29518,0.785398
64,-0.0452377,,64,21.816,0.785398
65,0.00813781,,65,14.1968,0.785398
66,-0.0881115,,66,20.329,0.785398
67,0.073157,,67,7.92077,0.785398
68,0.103133,,68,9.23625,0.785398
69,0.0735953,,69,27.0043,0.785398
70,-0.122648,,70,18.2479,0.785398
71,0.00251321,,71,15.4184,0.785398
72,-0.0511016,,72,13.2037,0.785398
73,0.0149797,,73,20.3376,0.785398
74,0.00104313,,74,3.5366,0.785398
75,-0.0474959,,75,16.3639,0.785398
76,0.120645,,76,0.693719,0.785398
77,0.116114,,77,7.85302,0.785398
78,-0.0128591,,78,25.0006,0.785398
79,-0.0491215,,79,17.077,0.785398
